"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"BODINE",1151858,TRUE,2009,FALSE,TRUE
"SURRENCY",773555,FALSE,2021,FALSE,TRUE
"MCLAURIN",564282,FALSE,1997,FALSE,TRUE
"BENNDALE",408250,FALSE,2012,FALSE,TRUE
"OAKLIMETER",364788,FALSE,2005,FALSE,TRUE
"CHRISTIAN",297502,FALSE,2001,FALSE,TRUE
"NATCHEZ",227417,FALSE,1998,FALSE,TRUE
"BELHAVEN",213033,FALSE,2002,FALSE,TRUE
"SOCO",200139,FALSE,2001,FALSE,TRUE
"TALLADEGA",155343,FALSE,2001,FALSE,TRUE
"GRITNEY",130043,FALSE,1997,FALSE,TRUE
"STECOAH",104095,FALSE,2001,FALSE,TRUE
"VICKSBURG",103571,FALSE,2002,FALSE,TRUE
"MATTAPONI",92795,FALSE,2003,FALSE,TRUE
"REMLIK",89385,FALSE,2002,FALSE,TRUE
"CAROLINE",77934,FALSE,2002,FALSE,TRUE
"PAILO",77493,FALSE,2002,FALSE,TRUE
"PETAL",74698,FALSE,2003,FALSE,TRUE
"NEWBERN",73692,FALSE,1998,FALSE,TRUE
"BLICHTON",71250,FALSE,2002,FALSE,TRUE
"COLFAX",58035,FALSE,1997,TRUE,TRUE
"CHEAHA",53744,FALSE,1999,FALSE,TRUE
"NEWHAN",50813,FALSE,2003,FALSE,TRUE
"BOURNE",45410,FALSE,2002,FALSE,TRUE
"FREELAND",44420,FALSE,2002,FALSE,TRUE
"GRIFFITH",39629,FALSE,2004,FALSE,TRUE
"OPENLAKE",31864,FALSE,2004,FALSE,TRUE
"DEMORY",29488,FALSE,2000,FALSE,TRUE
"EUREKA",29370,FALSE,2002,FALSE,TRUE
"OKEECHOBEE",29101,FALSE,2000,FALSE,TRUE
"ELLOREE",28778,FALSE,1997,FALSE,TRUE
"PARTLOW",26416,FALSE,1999,FALSE,TRUE
"KEYESPOINT",24448,FALSE,2002,FALSE,TRUE
"PAMUNKEY",23728,FALSE,2002,FALSE,TRUE
"BEECH GROVE",23364,FALSE,2002,TRUE,FALSE
"WESTWEGO",22938,FALSE,2011,FALSE,TRUE
"WANDO",21361,FALSE,2002,FALSE,TRUE
"ROME",20963,FALSE,2003,FALSE,TRUE
"ACKWATER",20910,FALSE,1997,FALSE,TRUE
"MONTROSS",19220,FALSE,2007,FALSE,TRUE
"EATON",19201,FALSE,2002,FALSE,TRUE
"BRIGHTON",17281,FALSE,2000,FALSE,TRUE
"WEEKSVILLE",16922,FALSE,2006,FALSE,TRUE
"RAPPAHANNOCK",16907,FALSE,2003,FALSE,TRUE
"ORENDA",14755,FALSE,2008,FALSE,TRUE
"SWAFFORD",12896,FALSE,2001,FALSE,TRUE
"NEWFLAT",12053,FALSE,1997,FALSE,TRUE
"YULEE",8230,FALSE,1998,FALSE,TRUE
"FORK",8078,FALSE,1997,FALSE,TRUE
"ZUBER",7641,FALSE,2003,FALSE,TRUE
"ANDRY",7430,FALSE,2003,TRUE,TRUE
"POCATY",7379,FALSE,2003,FALSE,TRUE
"SEKIL",6120,FALSE,2002,FALSE,TRUE
"LEDWITH",5574,FALSE,2003,FALSE,TRUE
"TALANTE",5463,FALSE,2002,FALSE,TRUE
"BROCKROAD",5373,FALSE,1999,FALSE,TRUE
"RED HILLS",4713,FALSE,2006,TRUE,FALSE
"TRENHOLM",4019,FALSE,2002,TRUE,TRUE
"PUNTA",3805,FALSE,1993,FALSE,TRUE
"TUCKAHOE",3244,FALSE,1999,FALSE,TRUE
"BURROWSVILLE",3176,FALSE,1997,FALSE,TRUE
"FORTUNA",3050,FALSE,2002,FALSE,TRUE
"LAROQUE",2387,FALSE,1999,FALSE,TRUE
"ALAMUCHEE",744,FALSE,2000,FALSE,TRUE
"BAHIAHONDA",672,FALSE,2009,FALSE,TRUE
"ALDERFLATS",529,FALSE,2006,FALSE,TRUE
"REPARADA",351,FALSE,2002,TRUE,TRUE
"BEARKNOB",189,FALSE,2013,TRUE,FALSE
"VERO",NA,FALSE,2004,FALSE,TRUE
